index,A,B,C,D,E
1476,0.03658558309788742,0.3698414746492881,0.49963974589755833,0.08816900101615256,0.005764195339113692
781,0.02053952392948885,0.13850039327992741,0.24154051505875326,0.4543810674566107,0.14503850027522
2374,0.002780244488783878,0.04916185008626001,0.18210099753127393,0.5871573718625062,0.17879953603117596
270,0.298609053128764,0.5361541700391002,0.14257194727222564,0.021171491789977157,0.0014933377699332348
9,0.037579007213510304,0.3161261707392971,0.44506946735925124,0.17146618021564358,0.029759174472298297
2535,0.0008172055405025285,0.013134518296594247,0.06077153771837792,0.639044495371901,0.2862322430726247
424,0.5462592964728178,0.3572185267187087,0.07122682787548475,0.023338329746348262,0.001957019186640471
1110,0.21009191255851004,0.6324596518974996,0.13590104737582076,0.019911345086791012,0.0016360430813785838
2515,0.11762958172924594,0.5861510312126026,0.25831444533522263,0.03488263080963433,0.003022310913294936
2274,0.5487027002165946,0.36910356980012005,0.07396116316183372,0.007754522453434994,0.0004780443680168564
2398,0.8664626221078517,0.11135530710564422,0.01719433330693428,0.004560457108957296,0.00042728037061160476
406,0.0013993391282316912,0.02156040711641552,0.07402407743823204,0.33056528809975877,0.5724508882173621
606,0.017824527249323933,0.12596737525015078,0.2930617349985855,0.468798425962341,0.09434793653959878
2613,0.0012045470925683367,0.018051871911675715,0.05499987909788114,0.550628399805029,0.37511530209284594
705,0.0001505007761665612,0.006792948742693547,0.03715543676527996,0.4793885540513784,0.476512559664482
1087,0.045206265131039834,0.3337967282552393,0.46507730842264455,0.14301549008292747,0.012904208108149132
614,0.000924673656054731,0.013818106016180103,0.016145032254148265,0.22731539995088584,0.741796788122732
1324,0.002441256683691479,0.04535951244436341,0.10658640609686477,0.4713599245160191,0.3742529002590614
1431,0.004297339066845844,0.05568684090978291,0.14027910281068098,0.6229515972497732,0.17678511996291707
863,0.2146165569459701,0.5876607999055653,0.16806476301915352,0.027944755707464162,0.0017131244218468542
122,0.004682292972143038,0.11459157542991051,0.3332518516322841,0.4187247825231607,0.1287494974425021
1033,0.003998447808362866,0.0940908018578327,0.17491416031883797,0.5506705553443166,0.1763260346706495
1968,0.0009150797012748047,0.014759925202539728,0.05825975936012721,0.42062764210183173,0.5054375936342274
